VariantID,Country,first_seq,last_seq,variant,total_cases,total_deaths
112,Djibouti,3/26/2021,5/20/2021,S.Q677,86.02996255,1.138576779
113,Niger,4/1/2021,4/1/2021,S.Q677,590.7058824,22
114,Malta,4/1/2021,6/21/2021,S.Q677,368.8961039,5.064935065
115,Ecuador,4/10/2021,9/27/2021,S.Q677,1101.704135,70.91750026
116,Bahrain,4/10/2021,10/27/2021,S.Q677,312.9478298,1.575569065
117,Latvia,4/13/2021,7/1/2021,S.Q677,162.1977224,2.972641895
118,Croatia,4/21/2021,11/13/2021,S.Q677,666.8157439,12.27357771
119,Belize,4/29/2021,4/29/2021,S.Q677,18.16954023,0.46408046
120,Georgia,5/1/2021,11/2/2021,S.Q677,6849.318467,95.50251256
121,Moldova,5/4/2021,5/4/2021,S.Q677,1197.638095,27.94761905
122,Dominican Republic,5/10/2021,10/16/2021,S.Q677,797.1967655,8.806469003
123,Congo (Kinshasa),5/12/2021,6/21/2021,S.Q677,771.75,17.88662791
124,Haiti,5/20/2021,5/20/2021,S.Q677,39.64431487,0.804664723
125,Kuwait,5/30/2021,6/15/2021,S.Q677,2844.365199,15.73361976
126,Botswana,6/13/2021,9/27/2021,S.Q677,253.0317385,3.363808622
127,Fiji,6/17/2021,6/18/2021,S.Q677,2.168421053,0.007894737
128,Eswatini,6/29/2021,6/29/2021,S.Q677,44.69320843,1.587822014
129,Algeria,7/8/2021,7/14/2021,S.Q677,2772.614907,72.33540373
130,Trinidad and Tobago,7/28/2021,7/28/2021,S.Q677,13.27304469,0.368715084
131,Kosovo,7/28/2021,9/7/2021,S.Q677,187.6716904,3.281059063
132,Montenegro,8/2/2021,8/30/2021,S.Q677,258.5292793,3.873873874
133,Suriname,8/5/2021,9/29/2021,S.Q677,25.99246941,0.55161594
134,Ethiopia,8/6/2021,8/6/2021,S.Q677,221.3307271,3.451915559
135,Nepal,8/9/2021,8/9/2021,S.Q677,1074.080838,15.14221557
136,Vietnam,9/2/2021,9/2/2021,S.Q677,302.5027968,7.543816035
137,Cambodia,10/1/2021,10/7/2021,S.Q677,125.3684789,2.680944536
138,Canada,3/10/2020,7/3/2021,20A.S.210T,2199.657491,41.2962547
139,Madagascar,7/13/2020,7/13/2020,20A.S.210T,3.833962264,0.027924528
140,Burkina Faso,12/16/2020,12/16/2020,20A.S.210T,14.3516129,0.235483871
141,Switzerland,1/16/2021,7/19/2021,20A.S.210T,232.9329277,3.538299812
142,Rwanda,1/20/2021,1/20/2021,20A.S.210T,7.289489859,0.094038107
143,Belgium,1/23/2021,7/9/2021,20A.S.210T,561.9682125,12.94731189
144,Cameroon,1/28/2021,3/3/2021,20A.S.210T,823.1950355,12.70035461
145,France,2/3/2021,7/13/2021,20A.S.210T,26096.9906,487.080364
146,Germany,2/11/2021,8/4/2021,20A.S.210T,997.8642005,24.2248701
147,USA,2/12/2021,9/15/2021,20A.S.210T,258.6281471,4.11933638
148,South Korea,2/18/2021,8/26/2021,20A.S.210T,8579.144405,79.26219857
149,Central African Republic,2/25/2021,3/17/2021,20A.S.210T,155.2183908,1.931034483
150,Sweden,2/26/2021,2/26/2021,20A.S.210T,1.13262157,0.022100723
151,Luxembourg,3/1/2021,5/28/2021,20A.S.210T,34.13105239,0.397861616
152,UK,3/3/2021,3/30/2021,20A.S.210T,95.78736591,2.79085072
153,Angola,3/4/2021,3/5/2021,20A.S.210T,12.22797325,0.297179413
154,Turkey,3/8/2021,8/5/2021,20A.S.210T,3703.939991,32.86283315
155,Ireland,3/9/2021,3/23/2021,20A.S.210T,2.899820863,0.057749884
156,Finland,3/14/2021,6/27/2021,20A.S.210T,3.764462158,0.038828822
157,Gabon,3/19/2021,4/20/2021,20A.S.210T,86.74015748,0.535433071
158,Denmark,3/22/2021,7/29/2021,20A.S.210T,8.623869183,0.069546452
159,Croatia,3/23/2021,3/23/2021,20A.S.210T,5.976601298,0.134155637
160,Chile,3/23/2021,3/23/2021,20A.S.210T,17.68355712,0.41977346
161,Poland,4/9/2021,6/3/2021,20A.S.210T,44.69364683,1.151905328
162,Russia,4/29/2021,4/29/2021,20A.S.210T,248.3446976,5.650798638
163,Japan,5/1/2021,5/1/2021,20A.S.210T,1.178568406,0.020325371
164,South Africa,5/17/2021,6/11/2021,20A.S.210T,94.46259265,3.144483422
165,Congo (Brazzaville),5/19/2021,5/19/2021,20A.S.210T,12.85106383,0.167973124
166,Slovakia,5/25/2021,5/25/2021,20A.S.210T,16.14689277,0.258169455
167,Italy,6/5/2021,6/5/2021,20A.S.210T,31.82839622,0.951597005
168,Netherlands,6/28/2021,6/28/2021,20A.S.210T,28.97170657,0.305000423
169,Cambodia,8/25/2021,9/2/2021,20A.S.210T,77.36902801,1.588138386
170,Italy,3/19/2020,11/28/2021,S.N501,535993.4619,14307.3071
171,Sweden,3/26/2020,10/18/2021,S.N501,141674.0462,1823.579359
172,Australia,3/27/2020,11/28/2021,S.N501,14564.30769,139.069817
173,Chile,4/5/2020,11/11/2021,S.N501,176209.7154,3888.831914
174,Brazil,4/7/2020,11/25/2021,S.N501,2886472.695,80320.79995
175,UK,4/14/2020,11/23/2021,S.N501,8196216.622,118671.7271
176,USA,4/21/2020,11/10/2021,S.N501,2636875.364,42604.82543
177,Netherlands,4/28/2020,11/26/2021,S.N501,1367611.286,10271.11302
178,Madagascar,5/7/2020,4/26/2021,S.N501,4951.086792,83.10188679
179,Guinea,5/14/2020,6/8/2021,S.N501,2375.745223,16.7133758
180,Mexico,5/18/2020,11/11/2021,S.N501,163167.6642,12354.77149
181,Spain,5/25/2020,11/28/2021,S.N501,503209.1029,8625.931229
182,Canada,6/8/2020,11/23/2021,S.N501,2452817.572,40916.90385
